word,label
aba,correct
aba-aba,correct
abad,correct
abadiah,correct
abah,correct
abah-abah,correct
abai,correct
abaian,correct
abaimana,correct
abaka,correct
abakus,correct
abal-abal,correct
abalone,correct
abampere,correct
aban,correct
abandira,correct
abandonemen,correct
abang,correct
abangan,correct
abangga,correct
abar,correct
abar-abar,correct
abaran,correct
abasia,correct
abat,correct
abate,correct
abatisasi,correct
abatoar,correct
abau,correct
abawi,correct
abaya,correct
abdi,correct
abdikasi,correct
abdomen,correct
abduksi,correct
abduktor,correct
abdusen,correct
abe,correct
abece,correct
aberasi,correct
abet,correct
abg,correct
abian,correct
abid,correct
abidin,correct
abilah,correct
abing,correct
abiogenesis,correct
abiosen,correct
abioseston,correct
abiosfer,correct
abiotik,correct
abiotrofi,correct
abis,correct
abisal,correct
abiseka,correct
abisobentos,correct
abisopelagik,correct
abit,correct
abiturien,correct
abjad,correct
abjeksi,correct
abk,correct
ablasi,correct
ablastin,correct
ablaut,correct
ableisme,correct
ablepsia,correct
abnon,correct
abnormalitas,correct
abnus,correct
abolisi,correct
abomasum,correct
abon,correct
abone,correct
abonemen,correct
aboospora,correct
aborigin,correct
aborsi,correct
abortiva,correct
abortus,correct
abpar,correct
abrab,correct
abrak,correct
abrakadabra,correct
abras,correct
abrasi,correct
abrasif,correct
abreaksi,correct
abreviasi,correct
abrikos,correct
abrin,correct
abrip,correct
abripda,correct
abriptu,correct
abrogasi,correct
abrosfer,correct
abrupsi,correct
abs,correct
absensi,correct
absente,correct
absenteisme,correct
abses,correct
absis,correct
absisi,correct
absolusi,correct
absolutisme,correct
absorbat,correct
absorben,correct
absorpsi,correct
absorpsiometer,correct
absorptans,correct
absorptivitas,correct
abstensi,correct
abstinensi,correct
abstrak,correct
abstraksi,correct
abstraksionisme,correct
absurdisme,correct
absurditas,correct
abu,correct
abu-abu,correct
abuan,correct
abui,correct
abuk,correct
abuk-abuk,correct
abulhayat,correct
abulia,correct
abun,correct
abun-abun,correct
abung,correct
abus,correct
acak,correct
acan-acan,correct
acang,correct
acang-acang,correct
acar,correct
acara,correct
acaram,correct
acarya,correct
acatan,correct
acekarom,correct
acerang,correct
aci,correct
aci-aci,correct
aci-acian,correct
acian,correct
acik,correct
acuan,correct
acuhan,correct
acuman,correct
acung,correct
acungan,correct
ada,correct
adab,correct
adad,correct
adagio,correct
adagium,correct
adalat,correct
adam,correct
adamat,correct
adamu,correct
adang,correct
adang-adang,correct
adanya,correct
adap-adapan,correct
adaptabilitas,correct
adaptasi,correct
adaptogen,correct
adaptometer,correct
adaptor,correct
adapus,correct
adas,correct
adat,correct
ade,correct
adegan,correct
adelfogami,correct
adelfoparasit,correct
adempauze,correct
adendum,correct
adenina,correct
adenium,correct
adenoblas,correct
adenoid,correct
adenoma,correct
adenosina,correct
adenosis,correct
adenosit,correct
adenovirus,correct
aderang,correct
adesi,correct
adh,correct
adhesi,correct
adi-adi,correct
adiabat,correct
adiarus,correct
adib,correct
adibangkit,correct
adibibit,correct
adibintang,correct
adiboga,correct
adibusana,correct
adicita,correct
adihablur,correct
adik,correct
adik-beradik,correct
adika,correct
adikara,correct
adikarya,correct
adikekisi,correct
adikong,correct
adiksi,correct
adimanusia,correct
adimarga,correct
adinda,correct
ading,correct
adion,correct
adiparwa,correct
adipati,correct
adipektomi,correct
adipenghantar,correct
adiposit,correct
adipositas,correct
adipsia,correct
adipuisi,correct
adipura,correct
adipurna,correct
adiraja,correct
adiratna,correct
adiseni,correct
adisi,correct
adisiswa,correct
adit,correct
aditif,correct
aditokoh,correct
adiwangsa,correct
adiwidia,correct
adjektiva,correct
adjudikasi,correct
adjuster,correct
adjuvan,correct
adlib,correct
admin,correct
administrasi,correct
administrator,correct
admiral,correct
admisi,correct
admitans,correct
adnan,correct
adnasal,correct
adneksitis,correct
ado,correct
adobe,correct
adok,correct
adolesens,correct
adonan,correct
adopsi,correct
adora,correct
adp,correct
adpel,correct
adpi,correct
adrenal,correct
adrenalektomi,correct
adrenalin,correct
adrenalina,correct
adrenoreseptor,correct
